,Word,Frequency
613,elephant,1
614,yam,1
615,detailed,7
616,#yam,1
617,#yamroast,1
618,cheesy,2
619,shin,1
620,ramyun,1
621,tofu,1
622,#ramyun,1
623,#cheeseramyun,1
624,#ramen,1
625,#v,2
626,#shinramyun,1
627,#kookie,1
628,#rm,2
629,#bts,2
630,#lifegoeson,1
631,#suga,2
632,#jin,2
633,#jimin,2
634,#jhope,2
635,#army,2
636,style,1
637,khatta,1
638,meetha,1
639,nimbu,1
640,ka,3
641,achar,1
642,sweet,5
643,spicy,2
644,sour,1
645,pickle,1
646,#pickle,1
647,#sweetlimepickle,1
648,#lemonpickle,1
649,@masalabox,1
650,exciting,1
651,recipes,1
652,hacks,1
653,food,6
654,stories,1
655,mawa,5
656,malpua,4
657,rajasthan,1
658,festive,2
659,treat,1
660,that,2
661,served,3
662,rabdi,2
663,very,1
664,popular,1
665,dessert,3
666,state,1
667,halwais,1
668,makers,1
669,shops,1
670,seen,1
671,handling,1
672,giant,1
673,kadais,1
674,loaded,1
675,ghee,13
676,pour,2
677,ladle,2
678,creamy,2
679,crisp,1
680,dunk,1
681,sugar,6
682,flavored,1
683,cardamom,5
684,saffron,3
685,finally,2
686,golden,2
687,discshaped,1
688,malpuas,1
689,devoured,1
690,rich,2
691,according,1
692,historians,1
693,invented,1
694,during,1
695,vedic,1
696,originated,1
697,orissa,1
698,referred,1
699,amalu,1
700,chappan,1
701,bhog,1
702,offered,1
703,jagannath,1
704,temple,1
705,occasion,1
706,special,1
707,mouthwatering,1
708,home,3
709,required,1
710,1cup,1
711,flour,4
712,2cups,2
713,pd,1
714,18tsp,1
715,semolina,2
716,1tsp,2
717,how,1
718,grate,1
719,keep,2
720,sieve,1
721,sticky,1
722,equal,1
723,quantities,1
724,adding,1
725,warm,4
726,grated,1
727,stirring,1
728,continuously,1
729,whisk,1
730,gradually,1
731,mixture,1
732,smooth,3
733,flowing,2
734,seems,1
735,full,7
736,flame,1
737,spread,1
738,own,1
739,edges,1
740,start,2
741,turning,1
742,flip,1
743,other,4
744,side,1
745,soak,1
746,#mawamalpua,1
747,#malpua,1
748,#indiansweet,1
749,#indiandessert,1
750,#malpuarabdi,1
751,#rajasthanifood,1
752,#rajasthanisweet,1
753,#recipe,2
754,#dessertsofinstagram,1
755,#recipereel,1
756,#instagram,1
757,#india,1
758,#reels,6
759,#reelindia,1
760,#reelsinstagram,6
761,#recipereels,1
762,#masalabox,1
763,elaneer,1
764,nannari,1
765,sarbath,2
766,tender,1
767,#nannarisarbath,1
768,#elaneersarbath,1
769,#tendercoconut,1
770,lets,1
771,raise,1
772,toast,1
773,christmas,5
774,brighten,1
775,season,2
776,milky,2
777,mist,2
778,range,1
779,products,1
780,mysore,5
781,pak,5
782,@milkymistdairy,1
783,meltinmouth,1
784,soft,2
785,textured,1
786,absolute,1
787,indian,3
788,made,4
789,generous,1
790,amount,1
791,gram,1
792,richness,1
793,milkymistdairy,1
794,gave,1
795,distinctive,1
796,texture,1
797,aroma,2
798,totally,1
799,enhanced,1
800,flavour,1
801,heavenly,1
802,definitely,2
803,musttry,1
804,especially,1
805,round,1
806,corner,1
807,tastes,2
808,smells,1
809,fresh,1
810,homemade,1
811,milkymist,1
812,cow,1
813,various,1
814,packaging,1
815,traditional,1
816,locking,1
817,tins,1
818,value,1
819,pouch,1
820,packs,1
821,elegant,1
822,modern,1
823,age,1
824,solid,1
825,pet,1
826,jars,1
827,either,1
828,bliss,1
829,open,1
830,shop,1
831,@,1
832,httpshopmilkymistcom,1
833,uploaded,1
834,soon,2
835,#milkymist,1
836,#mysorepak,1
837,#sweet,1
838,#milkymisttreatschallenge,1
839,#cookwithmilkymist,1
840,mangai,1
841,saadam,1
842,raw,1
843,mango,1
844,mavinakayi,1
845,chitranna,1
846,#mangaisadam,1
847,#mangorice,1
848,velluli,1
849,karam,1
850,kaaram,1
851,#vellulikaram,1
852,got,1
853,hands,1
854,@btscoffeeindia,2
855,insideout,1
856,iced,1
857,coffee,8
858,bts,5
859,cold,2
860,brew,6
861,classic,1
862,americano,1
863,intense,1
864,had,2
865,nice,1
866,nutty,1
867,earthy,1
868,flavors,2
869,coffe,1
870,icecream,1
871,float,1
872,hot,3
873,vannila,1
874,latte,2
875,try,4
876,authentic,1
877,espressobased,1
878,create,1
879,great,1
880,onthego,1
881,specially,2
882,designed,1
883,bottles,1
884,featuring,1
885,members,1
886,ready,1
887,drink,1
888,premium,3
889,anywhere,1
890,started,2
891,selected,1
892,creating,1
893,black,1
894,unsweetened,1
895,sugarfree,1
896,thats,1
897,subtle,1
898,enjoying,1
899,daily,1
900,routine,1
901,work,1
902,needed,1
903,shot,1
904,caffeine,1
905,now,2
906,available,1
907,amazon,1
908,httpswwwamazoninbtshybrewvanillalattedpb09ckypn65refsr_1_5crid141zh2yfm59cxkeywordsbtshotbrewcoffeevanillalatteqid1637991007sprefixbtshotbrew2caps2c307sr85,1
909,purchase,1
910,maniacs,1
911,excellent,1
912,gift,1
913,army,1
914,#btscoffee,1
915,#btscoffeeindia,1
916,#americano,1
917,#junkook,1
918,#btsarmy,1
919,#latte,1
920,bade,2
921,brands,1
922,fail,1
923,kardiye,1
924,isne,1
925,coming,1
926,mohalla,1
927,aapka,1
928,dosa,1
929,lover,1
930,#dilsefoodie,10
931,#dilsecouple,8
932,lunch,3
933,dad,1
934,peeli,1
935,mirch,1
936,wale,1
937,chole,2
938,kulche,1
939,nai,2
940,sadak,2
941,chandni,2
942,chowk,2
943,mahender,1
944,ji,3
945,ke,1
946,dahi,1
947,bhalla,1
948,papdi,1
949,chaat,1
950,samosa,2
951,lovers,2
952,bhaiyo,1
953,bijli,1
954,se,1
955,kam,1
956,nahi,1
957,hai,1
958,giani,1
959,rabri,1
960,faluda,1
961,patna,2
962,roll,1
963,blue,1
964,moon,1
965,veteran,1
966,journalist,1
967,vinod,1
968,dua,1
969,passed,1
970,away,1
971,man,1
972,actually,1
973,hosting,1
974,show,1
975,zaika,1
976,india,1
977,inspired,1
978,many,1
979,true,1
980,deepest,1
981,condolences,1
982,family,1
983,dilli,1
984,ki,1
985,sardi,1
986,pav,3
987,bhaji,2
988,chatrasal,1
989,stadium,1
990,wali,1
991,rdk,1
992,roshan,1
993,di,1
994,kulfi,1
995,rajouri,1
996,outlet,1
997,amazing,2
998,aloo,1
999,tikki,1
1000,@dilsecouple,1
1001,hardworking,1
1002,uncle,1
1003,selling,1
1004,challi,1
1005,streets,1
1006,#foodieincarnate,10
1007,#streetfood,7
1008,#indianfood,7
1009,#viralfood,1
1010,#viralvideos,1
1011,pool,1
1012,@crowneplazagn,1
1013,#sodelhi,6
1014,#newdelhi,5
1015,#foodtalkindia,6
1016,#delhigram,5
1017,#eeeeeats,1
1018,#eatlocal,1
1019,#eatingfortheinsta,1
1020,#foodgasm,5
1021,#eathealthy,1
1022,#soulfood,1
1023,#vscofood,1
1024,#all_shots,1
1025,#foodshot,1
1026,#vscocam,1
1027,#travelgram,1
1028,#delhi_igers,1
1029,#staycation,2
1030,#instafoodbloggers,1
1031,#posing,1
1032,#goodfood,1
1033,#delhidiaries,1
1034,#breakfastgoals,2
1035,#indianbreakfast,1
1036,#hotelblogger,1
1037,#crowneplaza,1
1038,#breakfastbythepool,1
1039,most,3
1040,hygienic,1
1041,namkeen,1
1042,making,2
1043,kindly,3
1044,watch,6
1045,location,3
1046,price,3
1047,#delhifoodblogger,5
1048,#foodpornshare,4
1049,#foodiesofinstagram,4
1050,#indianstreetfood,5
1051,#delhistreetfood,4
1052,#streetfoodindia,4
1053,#mumbaistreetfood,4
1054,#delhifoodie,7
1055,#indianfoodie,4
1056,#desikhana,4
1057,#indianfoodblogger,4
1058,#indianfoodbloggers,8
1059,#delhifood,4
1060,#mumbai,6
1061,#delhi,5
1062,#gujarat,1
1063,#vadodara,2
1064,street,1
1065,everaloo,1
1066,boiling,1
1067,sand,1
1068,#mainpuri,1
1069,#aloo,1
1070,#uniquefood,1
1071,nadda,1
1072,kebab,1
1073,dish,1
1074,disappointed,2
1075,nagpur,1
1076,#nagpur,1
1077,#nadda,1
1078,famous,1
1079,patti,1
1080,vadodara,1
1081,#samosa,1
1082,ice,1
1083,barfi,1
1084,#streefood,1
1085,#icecream,1
1086,#barfi,1
1087,#desserts,1
1088,backdrop,1
1089,mighty,1
1090,himalayas,1
1091,cozy,1
1092,mountain,1
1093,stay,1
1094,mind,1
1095,comfort,1
1096,homely,1
1097,cedar,1
1098,lodge,1
1099,@aahma_hospitality,1
1100,wont,1
1101,#nainital,1
1102,#ramgarh,1
1103,#resort,1
1104,#mountainresort,1
1105,#amarsirohi,1
1106,#desifood,1
1107,#staycations,1
1108,#mumbaifoodblogger,2
1109,#mountainfood,1
1110,#foodwithaview,1
1111,#almora,1
1112,#himalayas,1
1113,#delhifoodbloggers,1
1114,#delhifoodguide,1
1115,#mumbaifoodie,1
1116,dragon,1
1117,fried,1
1118,misal,1
1119,#ahmedabad,1
1120,#friedmisal,1
1121,100,1
1122,natural,1
1123,jaggery,1
1124,#indian,1
1125,#ruralindia,1
1126,#streetfoodondia,1
1127,say,1
1128,cheeeeeese,1
1129,am,1
1130,big,1
1131,fan,1
1132,blooming,1
1133,breads,1
1134,ones,1
1135,heaven,1
1136,ville,1
1137,parle,1
1138,mumbai,6
1139,ever,2
1140,tried,2
1141,#foodmaniacindia,10
1142,#cheeselover,1
1143,#mumbaifood,4
1144,an,1
1145,awesome,1
1146,@arabianteahouse,1
1147,sharjah,1
1148,uae,1
1149,#lunchgoals,1
1150,#mumbaifoodbloggers,3
1151,mini,1
1152,brownies,1
1153,cupcake,1
1154,@theobromapatisserie,1
1155,#christmastime,2
1156,#christmas,1
1157,#foodmaniacreels,2
1158,tandoori,2
1159,topped,1
1160,mint,1
1161,chutney,1
1162,absolutely,1
1163,yumm,1
1164,noor,1
